asn=12326	id=-1  	link_model	path_loss_dbm = 96.57649839116179, current bitrate = 250, current distance is 144.00716320002002
asn=12326	id=2   	Node	tx done to=1 numtx=2 acked=false
asn=12411	id=-1  	link_model	path_loss_dbm = 96.57649839116179, current bitrate = 250, current distance is 144.00716320002002
asn=12411	id=2   	Node	tx done to=1 numtx=3 acked=false
asn=12598	id=-1  	link_model	path_loss_dbm = 96.57649839116179, current bitrate = 250, current distance is 144.00716320002002
asn=12598	id=-1  	link_model	path_loss_dbm = 96.57649839116179, current bitrate = 250, current distance is 144.00716320002002
asn=12598	id=2   	Node	tx done to=1 numtx=4 acked=false
asn=12938	id=-1  	link_model	path_loss_dbm = 96.57649839116179, current bitrate = 250, current distance is 144.00716320002002
asn=12938	id=-1  	link_model	path_loss_dbm = 96.57649839116179, current bitrate = 250, current distance is 144.00716320002002
asn=12938	id=2   	Node	tx done to=1 numtx=5 acked=true, remove packet
asn=13065	id=-1  	Mobility	update positions
asn=13065	id=2   	Mobility	at 140.005 pos is 155.005
asn=13429	id=2   	App	generate a packet, seqnum=3 for=1
asn=13431	id=-1  	link_model	path_loss_dbm = 97.34357667925543, current bitrate = 250, current distance is 155.00499400002224
asn=13431	id=1   	App	rx app packet seqnum=3 from=2
asn=13431	id=-1  	link_model	path_loss_dbm = 97.34357667925543, current bitrate = 250, current distance is 155.00499400002224
asn=13431	id=2   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=13879	id=1   	App	generate a packet, seqnum=3 for=2
asn=13891	id=-1  	link_model	path_loss_dbm = 97.34357667925543, current bitrate = 250, current distance is 155.00499400002224
asn=13891	id=1   	Node	tx done to=2 numtx=1 acked=false
asn=13896	id=-1  	link_model	path_loss_dbm = 97.34357667925543, current bitrate = 250, current distance is 155.00499400002224
asn=13942	id=-1  	link_model	path_loss_dbm = 97.34357667925543, current bitrate = 250, current distance is 155.00499400002224
asn=13942	id=1   	Node	tx done to=2 numtx=2 acked=false
asn=13959	id=-1  	link_model	path_loss_dbm = 97.34357667925543, current bitrate = 250, current distance is 155.00499400002224
asn=13959	id=1   	Node	tx done to=2 numtx=3 acked=false
asn=13998	id=-1  	Mobility	update positions
asn=13998	id=2   	Mobility	at 150.003 pos is 166.003
asn=14078	id=-1  	link_model	path_loss_dbm = 98.05805158347759, current bitrate = 250, current distance is 166.00282480002446
asn=14078	id=1   	Node	tx done to=2 numtx=4 acked=false
asn=14418	id=-1  	link_model	path_loss_dbm = 98.05805158347759, current bitrate = 250, current distance is 166.00282480002446
asn=14418	id=1   	Node	tx done to=2 numtx=5 acked=false
asn=14758	id=-1  	link_model	path_loss_dbm = 98.05805158347759, current bitrate = 250, current distance is 166.00282480002446
asn=14758	id=1   	Node	tx done to=2 numtx=6 acked=false
asn=14792	id=-1  	link_model	path_loss_dbm = 98.05805158347759, current bitrate = 250, current distance is 166.00282480002446
asn=14792	id=1   	Node	tx done to=2 numtx=7 acked=false
asn=14877	id=-1  	link_model	path_loss_dbm = 98.05805158347759, current bitrate = 250, current distance is 166.00282480002446
asn=14877	id=1   	App	dropping app packet seqnum=3 for=2 to=2: tx_limit=8 reached
asn=14877	id=1   	Node	tx done to=2 numtx=8 acked=false, remove packet
asn=14931	id=-1  	Mobility	update positions
asn=14931	id=2   	Mobility	at 160.001 pos is 177.001
asn=14982	id=1   	App	generate a packet, seqnum=4 for=2
asn=15200	id=-1  	link_model	path_loss_dbm = 98.72667710324905, current bitrate = 250, current distance is 177.00065560002668
asn=15200	id=1   	Node	tx done to=2 numtx=1 acked=false
asn=15395	id=1   	RPL	DIO output to -1
asn=15407	id=-1  	link_model	path_loss_dbm = 98.72667710324905, current bitrate = 250, current distance is 177.00065560002668
asn=15407	id=2   	RPL	DIO input from 1
asn=15484	id=-1  	link_model	path_loss_dbm = 98.72667710324905, current bitrate = 250, current distance is 177.00065560002668
asn=15574	id=-1  	link_model	path_loss_dbm = 98.72667710324905, current bitrate = 250, current distance is 177.00065560002668
asn=15574	id=1   	Node	tx done to=2 numtx=2 acked=false
asn=15778	id=-1  	link_model	path_loss_dbm = 98.72667710324905, current bitrate = 250, current distance is 177.00065560002668
asn=15778	id=1   	Node	tx done to=2 numtx=3 acked=false
asn=15865	id=-1  	Mobility	update positions
asn=15865	id=2   	Mobility	at 170.009 pos is 188.010
asn=15929	id=2   	App	generate a packet, seqnum=4 for=1
asn=15930	id=-1  	link_model	path_loss_dbm = 99.35563808038475, current bitrate = 250, current distance is 188.01027400002891
asn=15930	id=2   	Node	tx done to=1 numtx=1 acked=false
asn=15947	id=-1  	link_model	path_loss_dbm = 99.35563808038475, current bitrate = 250, current distance is 188.01027400002891
asn=15947	id=2   	Node	tx done to=1 numtx=2 acked=false
asn=16032	id=-1  	link_model	path_loss_dbm = 99.35563808038475, current bitrate = 250, current distance is 188.01027400002891
asn=16032	id=2   	Node	tx done to=1 numtx=3 acked=false
asn=16033	id=-1  	link_model	path_loss_dbm = 99.35563808038475, current bitrate = 250, current distance is 188.01027400002891
asn=16033	id=2   	App	rx app packet seqnum=4 from=1
asn=16033	id=-1  	link_model	path_loss_dbm = 99.35563808038475, current bitrate = 250, current distance is 188.01027400002891
asn=16033	id=1   	Node	tx done to=2 numtx=4 acked=true, remove packet
asn=16083	id=-1  	link_model	path_loss_dbm = 99.35563808038475, current bitrate = 250, current distance is 188.01027400002891
asn=16083	id=2   	Node	tx done to=1 numtx=4 acked=false
asn=16304	id=-1  	link_model	path_loss_dbm = 99.35563808038475, current bitrate = 250, current distance is 188.01027400002891
asn=16304	id=2   	Node	tx done to=1 numtx=5 acked=false
asn=16593	id=-1  	link_model	path_loss_dbm = 99.35563808038475, current bitrate = 250, current distance is 188.01027400002891
asn=16593	id=2   	Node	tx done to=1 numtx=6 acked=false
asn=16627	id=-1  	link_model	path_loss_dbm = 99.35563808038475, current bitrate = 250, current distance is 188.01027400002891
asn=16627	id=2   	Node	tx done to=1 numtx=7 acked=false
asn=16675	id=-1  	link_model	path_loss_dbm = 99.35563808038475, current bitrate = 250, current distance is 188.01027400002891
asn=16798	id=-1  	Main	180 seconds, progress 5.00%
asn=16798	id=-1  	Main	periodic route processing for all nodes
asn=16798	id=1   	TSCH	stats: {"idle_listen":1481,"channel_scan":0,"rx_data":0,"rx_data_tx_ack":10,"tx_data":19,"tx_data_rx_ack":16}
asn=16798	id=2   	TSCH	stats: {"idle_listen":1521,"channel_scan":0,"rx_data":5,"rx_data_tx_ack":5,"tx_data":0,"tx_data_rx_ack":19}
asn=16798	id=-1  	Mobility	update positions
asn=16798	id=2   	Mobility	at 180.007 pos is 199.008
asn=16933	id=-1  	link_model	path_loss_dbm = 99.94817843617935, current bitrate = 250, current distance is 199.00810480003113
asn=16933	id=2   	App	dropping app packet seqnum=4 for=1 to=1: tx_limit=8 reached
asn=16933	id=2   	Node	tx done to=1 numtx=8 acked=false, remove packet
asn=17731	id=-1  	Mobility	update positions
asn=17731	id=2   	Mobility	at 190.005 pos is 210.006
asn=17810	id=2   	App	generate a packet, seqnum=5 for=1
asn=17817	id=-1  	link_model	path_loss_dbm = 100.50883777903984, current bitrate = 250, current distance is 210.00593560003335
asn=17817	id=2   	Node	tx done to=1 numtx=1 acked=false
asn=17866	id=-1  	link_model	path_loss_dbm = 100.50883777903984, current bitrate = 250, current distance is 210.00593560003335
asn=17903	id=1   	App	generate a packet, seqnum=5 for=2
asn=17903	id=-1  	link_model	path_loss_dbm = 100.50883777903984, current bitrate = 250, current distance is 210.00593560003335
asn=17903	id=1   	Node	tx done to=2 numtx=1 acked=false
asn=17937	id=-1  	link_model	path_loss_dbm = 100.50883777903984, current bitrate = 250, current distance is 210.00593560003335
asn=17937	id=1   	Node	tx done to=2 numtx=2 acked=false
asn=17987	id=-1  	link_model	path_loss_dbm = 100.50883777903984, current bitrate = 250, current distance is 210.00593560003335
asn=17987	id=2   	Node	tx done to=1 numtx=2 acked=false
asn=17988	id=-1  	link_model	path_loss_dbm = 100.50883777903984, current bitrate = 250, current distance is 210.00593560003335
asn=17988	id=1   	Node	tx done to=2 numtx=3 acked=false
asn=18055	id=-1  	link_model	path_loss_dbm = 100.50883777903984, current bitrate = 250, current distance is 210.00593560003335
asn=18055	id=2   	Node	tx done to=1 numtx=3 acked=false
asn=18141	id=-1  	link_model	path_loss_dbm = 100.50883777903984, current bitrate = 250, current distance is 210.00593560003335
asn=18141	id=1   	Node	tx done to=2 numtx=4 acked=false
asn=18345	id=-1  	link_model	path_loss_dbm = 100.50883777903984, current bitrate = 250, current distance is 210.00593560003335
asn=18345	id=1   	Node	tx done to=2 numtx=5 acked=false
asn=18446	id=-1  	link_model	path_loss_dbm = 100.50883777903984, current bitrate = 250, current distance is 210.00593560003335
asn=18446	id=2   	Node	tx done to=1 numtx=4 acked=false
asn=18464	id=-1  	link_model	path_loss_dbm = 100.50883777903984, current bitrate = 250, current distance is 210.00593560003335
asn=18464	id=1   	Node	tx done to=2 numtx=6 acked=false
asn=18480	id=-1  	link_model	path_loss_dbm = 100.50883777903984, current bitrate = 250, current distance is 210.00593560003335
asn=18480	id=2   	Node	tx done to=1 numtx=5 acked=false
asn=18582	id=-1  	link_model	path_loss_dbm = 100.50883777903984, current bitrate = 250, current distance is 210.00593560003335
asn=18582	id=2   	Node	tx done to=1 numtx=6 acked=false
asn=18634	id=-1  	link_model	path_loss_dbm = 100.50883777903984, current bitrate = 250, current distance is 210.00593560003335
asn=18634	id=1   	Node	tx done to=2 numtx=7 acked=false
asn=18664	id=-1  	Mobility	update positions
asn=18664	id=2   	Mobility	at 200.003 pos is 221.004
asn=18888	id=-1  	link_model	path_loss_dbm = 101.04087230647784, current bitrate = 250, current distance is 221.0037664000356
asn=18888	id=2   	Node	tx done to=1 numtx=7 acked=false
asn=18889	id=-1  	link_model	path_loss_dbm = 101.04087230647784, current bitrate = 250, current distance is 221.0037664000356
asn=18889	id=1   	App	dropping app packet seqnum=5 for=2 to=2: tx_limit=8 reached
asn=18889	id=1   	Node	tx done to=2 numtx=8 acked=false, remove packet
asn=19279	id=-1  	link_model	path_loss_dbm = 101.04087230647784, current bitrate = 250, current distance is 221.0037664000356
asn=19279	id=2   	App	dropping app packet seqnum=5 for=1 to=1: tx_limit=8 reached
asn=19279	id=2   	Node	tx done to=1 numtx=8 acked=false, remove packet
asn=19454	id=-1  	link_model	path_loss_dbm = 101.04087230647784, current bitrate = 250, current distance is 221.0037664000356
asn=19597	id=-1  	Mobility	update positions
asn=19597	id=2   	Mobility	at 210.001 pos is 232.002
asn=19998	id=2   	App	generate a packet, seqnum=6 for=1
asn=20010	id=-1  	link_model	path_loss_dbm = 101.54706349862968, current bitrate = 250, current distance is 232.00159720003782
asn=20010	id=2   	Node	tx done to=1 numtx=1 acked=false
