asn=0    	id=-1  	Main	copying configuration file /home/lkw/tsch-sim-history/tsch-sim/examples/mesh/config-mobility.json to output directory /home/lkw/tsch-sim-history/tsch-sim/examples/mesh/results/link_quality_with_distance/3600s-29380/config-mobility.json
asn=434  	id=2   	RPL	DIO input from 1
asn=681  	id=-1  	Mobility	update positions
asn=681  	id=2   	Mobility	at 20.008 pos is 23.009
asn=795  	id=-1  	link_model	path_loss_dbm = 68.46062573462359, current bitrate = 50, current distance is 23.00855799999986
asn=1022 	id=-1  	Mobility	update positions
asn=1022 	id=2   	Mobility	at 30.026 pos is 34.029
asn=1096 	id=1   	RPL	DIO output to -1
asn=1116 	id=-1  	link_model	path_loss_dbm = 72.53965936211074, current bitrate = 50, current distance is 34.02899599999976
asn=1116 	id=2   	RPL	DIO input from 1
asn=1362 	id=-1  	Mobility	update positions
asn=1362 	id=2   	Mobility	at 40.016 pos is 45.017
asn=1589 	id=-1  	link_model	path_loss_dbm = 75.45634415256413, current bitrate = 50, current distance is 45.01711600000073
asn=1702 	id=-1  	Mobility	update positions
asn=1702 	id=2   	Mobility	at 50.005 pos is 56.005
asn=1986 	id=-1  	link_model	path_loss_dbm = 77.73276726347333, current bitrate = 50, current distance is 56.005236000001965
asn=2043 	id=-1  	Main	60 seconds, progress 1.67%
asn=2043 	id=-1  	Main	periodic route processing for all nodes
asn=2043 	id=1   	TSCH	stats: {"idle_listen":173,"channel_scan":0,"rx_data":0,"rx_data_tx_ack":5,"tx_data":7,"tx_data_rx_ack":1}
asn=2043 	id=2   	TSCH	stats: {"idle_listen":178,"channel_scan":0,"rx_data":3,"rx_data_tx_ack":1,"tx_data":0,"tx_data_rx_ack":5}
asn=2043 	id=-1  	Mobility	update positions
asn=2043 	id=2   	Mobility	at 60.023 pos is 67.026
asn=2383 	id=-1  	Mobility	update positions
asn=2383 	id=2   	Mobility	at 70.013 pos is 78.014
asn=2383 	id=-1  	link_model	path_loss_dbm = 81.18739368507762, current bitrate = 50, current distance is 78.01379400000444
asn=2639 	id=1   	RPL	DIO output to -1
asn=2666 	id=-1  	link_model	path_loss_dbm = 81.18739368507762, current bitrate = 50, current distance is 78.01379400000444
asn=2666 	id=2   	RPL	DIO input from 1
asn=2723 	id=-1  	Mobility	update positions
asn=2723 	id=2   	Mobility	at 80.002 pos is 89.002
asn=2780 	id=-1  	link_model	path_loss_dbm = 82.56086441564199, current bitrate = 50, current distance is 89.00191400000567
asn=3064 	id=-1  	Mobility	update positions
asn=3064 	id=2   	Mobility	at 90.020 pos is 100.022
asn=3404 	id=-1  	Mobility	update positions
asn=3404 	id=2   	Mobility	at 100.010 pos is 111.010
asn=3574 	id=-1  	link_model	path_loss_dbm = 84.86401488517131, current bitrate = 50, current distance is 111.01047200000814
asn=3745 	id=-1  	Mobility	update positions
asn=3745 	id=2   	Mobility	at 110.028 pos is 122.031
asn=3971 	id=-1  	link_model	path_loss_dbm = 85.85055650101214, current bitrate = 50, current distance is 122.03091000000937
asn=4045 	id=2   	App	generate a packet, seqnum=1 for=1
asn=4047 	id=-1  	link_model	path_loss_dbm = 85.85055650101214, current bitrate = 50, current distance is 122.03091000000937
asn=4047 	id=1   	App	rx app packet seqnum=1 from=2
asn=4047 	id=-1  	link_model	path_loss_dbm = 85.85055650101214, current bitrate = 50, current distance is 122.03091000000937
asn=4047 	id=2   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=4063 	id=1   	App	generate a packet, seqnum=1 for=2
asn=4065 	id=-1  	link_model	path_loss_dbm = 85.85055650101214, current bitrate = 50, current distance is 122.03091000000937
asn=4065 	id=2   	App	rx app packet seqnum=1 from=1
asn=4065 	id=-1  	link_model	path_loss_dbm = 85.85055650101214, current bitrate = 50, current distance is 122.03091000000937
asn=4065 	id=1   	Node	tx done to=2 numtx=1 acked=true, remove packet
asn=4085 	id=-1  	Main	120 seconds, progress 3.33%
asn=4085 	id=-1  	Main	periodic route processing for all nodes
asn=4085 	id=1   	TSCH	stats: {"idle_listen":353,"channel_scan":0,"rx_data":0,"rx_data_tx_ack":6,"tx_data":12,"tx_data_rx_ack":2}
asn=4085 	id=2   	TSCH	stats: {"idle_listen":363,"channel_scan":0,"rx_data":4,"rx_data_tx_ack":2,"tx_data":0,"tx_data_rx_ack":6}
asn=4085 	id=-1  	Mobility	update positions
asn=4085 	id=2   	Mobility	at 120.017 pos is 133.019
asn=4257 	id=2   	App	generate a packet, seqnum=2 for=1
asn=4268 	id=-1  	link_model	path_loss_dbm = 86.74921074131166, current bitrate = 50, current distance is 133.0190300000106
asn=4268 	id=1   	App	rx app packet seqnum=2 from=2
asn=4268 	id=-1  	link_model	path_loss_dbm = 86.74921074131166, current bitrate = 50, current distance is 133.0190300000106
asn=4268 	id=2   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=4331 	id=1   	App	generate a packet, seqnum=2 for=2
asn=4337 	id=-1  	link_model	path_loss_dbm = 86.74921074131166, current bitrate = 50, current distance is 133.0190300000106
asn=4337 	id=2   	App	rx app packet seqnum=2 from=1
asn=4337 	id=-1  	link_model	path_loss_dbm = 86.74921074131166, current bitrate = 50, current distance is 133.0190300000106
asn=4337 	id=1   	Node	tx done to=2 numtx=1 acked=true, remove packet
asn=4368 	id=-1  	link_model	path_loss_dbm = 86.74921074131166, current bitrate = 50, current distance is 133.0190300000106
asn=4425 	id=-1  	Mobility	update positions
asn=4425 	id=2   	Mobility	at 130.007 pos is 144.007
asn=4765 	id=-1  	link_model	path_loss_dbm = 87.57649743576081, current bitrate = 50, current distance is 144.00715000001182
asn=4766 	id=-1  	Mobility	update positions
asn=4766 	id=2   	Mobility	at 140.025 pos is 155.028
asn=4802 	id=2   	App	generate a packet, seqnum=3 for=1
asn=4812 	id=-1  	link_model	path_loss_dbm = 88.34509586660911, current bitrate = 50, current distance is 155.02758800001305
asn=4812 	id=1   	App	rx app packet seqnum=3 from=2
asn=4812 	id=-1  	link_model	path_loss_dbm = 88.34509586660911, current bitrate = 50, current distance is 155.02758800001305
asn=4812 	id=2   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=4863 	id=1   	RPL	DIO output to -1
asn=4867 	id=-1  	link_model	path_loss_dbm = 88.34509586660911, current bitrate = 50, current distance is 155.02758800001305
asn=4867 	id=2   	RPL	DIO input from 1
asn=5000 	id=1   	App	generate a packet, seqnum=3 for=2
asn=5000 	id=-1  	link_model	path_loss_dbm = 88.34509586660911, current bitrate = 50, current distance is 155.02758800001305
asn=5000 	id=2   	App	rx app packet seqnum=3 from=1
asn=5000 	id=-1  	link_model	path_loss_dbm = 88.34509586660911, current bitrate = 50, current distance is 155.02758800001305
asn=5000 	id=1   	Node	tx done to=2 numtx=1 acked=true, remove packet
asn=5106 	id=-1  	Mobility	update positions
asn=5106 	id=2   	Mobility	at 150.014 pos is 166.016
asn=5162 	id=-1  	link_model	path_loss_dbm = 89.05886046883042, current bitrate = 50, current distance is 166.01570800001429
asn=5446 	id=-1  	Mobility	update positions
asn=5446 	id=2   	Mobility	at 160.003 pos is 177.004
asn=5495 	id=1   	App	generate a packet, seqnum=4 for=2
asn=5510 	id=-1  	link_model	path_loss_dbm = 89.72686391523004, current bitrate = 50, current distance is 177.00382800001552
asn=5510 	id=2   	App	rx app packet seqnum=4 from=1
asn=5510 	id=-1  	link_model	path_loss_dbm = 89.72686391523004, current bitrate = 50, current distance is 177.00382800001552
asn=5510 	id=1   	Node	tx done to=2 numtx=1 acked=true, remove packet
asn=5559 	id=-1  	link_model	path_loss_dbm = 89.72686391523004, current bitrate = 50, current distance is 177.00382800001552
asn=5689 	id=2   	App	generate a packet, seqnum=4 for=1
asn=5696 	id=-1  	link_model	path_loss_dbm = 89.72686391523004, current bitrate = 50, current distance is 177.00382800001552
asn=5696 	id=1   	App	rx app packet seqnum=4 from=2
asn=5696 	id=-1  	link_model	path_loss_dbm = 89.72686391523004, current bitrate = 50, current distance is 177.00382800001552
asn=5696 	id=2   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=5787 	id=-1  	Mobility	update positions
asn=5787 	id=2   	Mobility	at 170.022 pos is 188.024
asn=5956 	id=-1  	link_model	path_loss_dbm = 90.35641375147773, current bitrate = 50, current distance is 188.02426600001675
asn=6127 	id=-1  	Main	180 seconds, progress 5.00%
asn=6127 	id=-1  	Main	periodic route processing for all nodes
asn=6127 	id=1   	TSCH	stats: {"idle_listen":532,"channel_scan":0,"rx_data":0,"rx_data_tx_ack":9,"tx_data":18,"tx_data_rx_ack":5}
asn=6127 	id=2   	TSCH	stats: {"idle_listen":546,"channel_scan":0,"rx_data":5,"rx_data_tx_ack":5,"tx_data":0,"tx_data_rx_ack":9}
asn=6127 	id=-1  	Mobility	update positions
asn=6127 	id=2   	Mobility	at 180.011 pos is 199.012
asn=6353 	id=-1  	link_model	path_loss_dbm = 90.9484026620057, current bitrate = 50, current distance is 199.01238600001798
asn=6375 	id=1   	App	generate a packet, seqnum=5 for=2
asn=6377 	id=-1  	link_model	path_loss_dbm = 90.9484026620057, current bitrate = 50, current distance is 199.01238600001798
asn=6377 	id=2   	App	rx app packet seqnum=5 from=1
asn=6377 	id=-1  	link_model	path_loss_dbm = 90.9484026620057, current bitrate = 50, current distance is 199.01238600001798
asn=6377 	id=1   	Node	tx done to=2 numtx=1 acked=true, remove packet
asn=6467 	id=-1  	Mobility	update positions
asn=6467 	id=2   	Mobility	at 190.000 pos is 210.001
asn=6571 	id=2   	App	generate a packet, seqnum=5 for=1
asn=6580 	id=-1  	link_model	path_loss_dbm = 91.50856829227868, current bitrate = 50, current distance is 210.00050600001921
asn=6580 	id=1   	App	rx app packet seqnum=5 from=2
asn=6580 	id=-1  	link_model	path_loss_dbm = 91.50856829227868, current bitrate = 50, current distance is 210.00050600001921
asn=6580 	id=2   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=6808 	id=-1  	Mobility	update positions
asn=6808 	id=2   	Mobility	at 200.019 pos is 221.021
asn=7076 	id=1   	App	generate a packet, seqnum=6 for=2
asn=7091 	id=-1  	link_model	path_loss_dbm = 92.04168241180062, current bitrate = 50, current distance is 221.02094400002045
asn=7091 	id=2   	App	rx app packet seqnum=6 from=1
asn=7091 	id=-1  	link_model	path_loss_dbm = 92.04168241180062, current bitrate = 50, current distance is 221.02094400002045
asn=7091 	id=1   	Node	tx done to=2 numtx=1 acked=true, remove packet
asn=7098 	id=2   	App	generate a packet, seqnum=6 for=1
asn=7107 	id=-1  	link_model	path_loss_dbm = 92.04168241180062, current bitrate = 50, current distance is 221.02094400002045
asn=7107 	id=1   	App	rx app packet seqnum=6 from=2
asn=7107 	id=-1  	link_model	path_loss_dbm = 92.04168241180062, current bitrate = 50, current distance is 221.02094400002045
asn=7107 	id=2   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=7147 	id=-1  	link_model	path_loss_dbm = 92.04168241180062, current bitrate = 50, current distance is 221.02094400002045
asn=7148 	id=-1  	Mobility	update positions
asn=7148 	id=2   	Mobility	at 210.008 pos is 232.009
asn=7489 	id=-1  	Mobility	update positions
asn=7489 	id=2   	Mobility	at 220.027 pos is 243.030
asn=7544 	id=-1  	link_model	path_loss_dbm = 93.03109603122478, current bitrate = 50, current distance is 243.02950200002292
asn=7829 	id=-1  	Mobility	update positions
asn=7829 	id=2   	Mobility	at 230.016 pos is 254.018
asn=7841 	id=1   	App	generate a packet, seqnum=7 for=2
asn=7856 	id=-1  	link_model	path_loss_dbm = 93.49201240894958, current bitrate = 50, current distance is 254.01762200002415
asn=7856 	id=2   	App	rx app packet seqnum=7 from=1
asn=7856 	id=-1  	link_model	path_loss_dbm = 93.49201240894958, current bitrate = 50, current distance is 254.01762200002415
asn=7856 	id=1   	Node	tx done to=2 numtx=1 acked=false
asn=7880 	id=2   	App	generate a packet, seqnum=7 for=1
asn=7889 	id=-1  	link_model	path_loss_dbm = 93.49201240894958, current bitrate = 50, current distance is 254.01762200002415
asn=7889 	id=1   	App	rx app packet seqnum=7 from=2
asn=7889 	id=-1  	link_model	path_loss_dbm = 93.49201240894958, current bitrate = 50, current distance is 254.01762200002415
asn=7889 	id=2   	Node	tx done to=1 numtx=1 acked=false
asn=7890 	id=-1  	link_model	path_loss_dbm = 93.49201240894958, current bitrate = 50, current distance is 254.01762200002415
asn=7890 	id=-1  	link_model	path_loss_dbm = 93.49201240894958, current bitrate = 50, current distance is 254.01762200002415
asn=7890 	id=1   	Node	tx done to=2 numtx=2 acked=true, remove packet
asn=7940 	id=-1  	link_model	path_loss_dbm = 93.49201240894958, current bitrate = 50, current distance is 254.01762200002415
asn=7940 	id=-1  	link_model	path_loss_dbm = 93.49201240894958, current bitrate = 50, current distance is 254.01762200002415
asn=7940 	id=2   	Node	tx done to=1 numtx=2 acked=false
asn=7941 	id=-1  	link_model	path_loss_dbm = 93.49201240894958, current bitrate = 50, current distance is 254.01762200002415
asn=8025 	id=-1  	link_model	path_loss_dbm = 93.49201240894958, current bitrate = 50, current distance is 254.01762200002415
asn=8025 	id=-1  	link_model	path_loss_dbm = 93.49201240894958, current bitrate = 50, current distance is 254.01762200002415
asn=8025 	id=2   	Node	tx done to=1 numtx=3 acked=true, remove packet
asn=8169 	id=-1  	Main	240 seconds, progress 6.67%
asn=8169 	id=-1  	Main	periodic route processing for all nodes
asn=8169 	id=1   	TSCH	stats: {"idle_listen":709,"channel_scan":0,"rx_data":0,"rx_data_tx_ack":14,"tx_data":22,"tx_data_rx_ack":9}
asn=8169 	id=2   	TSCH	stats: {"idle_listen":728,"channel_scan":0,"rx_data":5,"rx_data_tx_ack":9,"tx_data":0,"tx_data_rx_ack":14}
asn=8169 	id=-1  	Mobility	update positions
asn=8169 	id=2   	Mobility	at 240.005 pos is 265.006
asn=8338 	id=1   	App	generate a packet, seqnum=8 for=2
asn=8338 	id=-1  	link_model	path_loss_dbm = 93.93340692234344, current bitrate = 50, current distance is 265.0057420000254
asn=8349 	id=-1  	link_model	path_loss_dbm = 93.93340692234344, current bitrate = 50, current distance is 265.0057420000254
asn=8349 	id=1   	Node	tx done to=2 numtx=1 acked=false
asn=8417 	id=-1  	link_model	path_loss_dbm = 93.93340692234344, current bitrate = 50, current distance is 265.0057420000254
asn=8417 	id=1   	Node	tx done to=2 numtx=2 acked=false
asn=8468 	id=-1  	link_model	path_loss_dbm = 93.93340692234344, current bitrate = 50, current distance is 265.0057420000254
asn=8468 	id=2   	App	rx app packet seqnum=8 from=1
asn=8468 	id=-1  	link_model	path_loss_dbm = 93.93340692234344, current bitrate = 50, current distance is 265.0057420000254
asn=8468 	id=1   	Node	tx done to=2 numtx=3 acked=true, remove packet
asn=8510 	id=-1  	Mobility	update positions
asn=8510 	id=2   	Mobility	at 250.024 pos is 276.026
asn=8780 	id=2   	App	generate a packet, seqnum=8 for=1
asn=8790 	id=-1  	link_model	path_loss_dbm = 94.35808670757218, current bitrate = 50, current distance is 276.0261800000266
asn=8790 	id=1   	App	rx app packet seqnum=8 from=2
asn=8790 	id=-1  	link_model	path_loss_dbm = 94.35808670757218, current bitrate = 50, current distance is 276.0261800000266
asn=8790 	id=2   	Node	tx done to=1 numtx=1 acked=false
asn=8841 	id=-1  	link_model	path_loss_dbm = 94.35808670757218, current bitrate = 50, current distance is 276.0261800000266
asn=8841 	id=-1  	link_model	path_loss_dbm = 94.35808670757218, current bitrate = 50, current distance is 276.0261800000266
asn=8841 	id=2   	Node	tx done to=1 numtx=2 acked=true, remove packet
asn=8850 	id=-1  	Mobility	update positions
asn=8850 	id=2   	Mobility	at 260.013 pos is 287.014
asn=8865 	id=2   	App	generate a packet, seqnum=9 for=1
asn=8875 	id=-1  	link_model	path_loss_dbm = 94.76496495025637, current bitrate = 50, current distance is 287.01430000002784
asn=8875 	id=1   	App	rx app packet seqnum=9 from=2
asn=8875 	id=-1  	link_model	path_loss_dbm = 94.76496495025637, current bitrate = 50, current distance is 287.01430000002784
asn=8875 	id=2   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=8989 	id=1   	App	generate a packet, seqnum=9 for=2
asn=8995 	id=-1  	link_model	path_loss_dbm = 94.76496495025637, current bitrate = 50, current distance is 287.01430000002784
asn=8995 	id=2   	App	rx app packet seqnum=9 from=1
asn=8995 	id=-1  	link_model	path_loss_dbm = 94.76496495025637, current bitrate = 50, current distance is 287.01430000002784
asn=8995 	id=1   	Node	tx done to=2 numtx=1 acked=false
asn=9063 	id=-1  	link_model	path_loss_dbm = 94.76496495025637, current bitrate = 50, current distance is 287.01430000002784
asn=9063 	id=-1  	link_model	path_loss_dbm = 94.76496495025637, current bitrate = 50, current distance is 287.01430000002784
asn=9063 	id=1   	Node	tx done to=2 numtx=2 acked=true, remove packet
asn=9132 	id=-1  	link_model	path_loss_dbm = 94.76496495025637, current bitrate = 50, current distance is 287.01430000002784
asn=9190 	id=-1  	Mobility	update positions
asn=9190 	id=2   	Mobility	at 270.002 pos is 298.002
asn=9529 	id=-1  	link_model	path_loss_dbm = 95.15655508525495, current bitrate = 50, current distance is 298.0024200000291
asn=9531 	id=-1  	Mobility	update positions
asn=9531 	id=2   	Mobility	at 280.021 pos is 309.023
asn=9579 	id=1   	RPL	DIO output to -1
asn=9579 	id=-1  	link_model	path_loss_dbm = 95.5350546188915, current bitrate = 50, current distance is 309.0228580000303
asn=9579 	id=2   	RPL	DIO input from 1
asn=9615 	id=2   	App	generate a packet, seqnum=10 for=1
asn=9623 	id=-1  	link_model	path_loss_dbm = 95.5350546188915, current bitrate = 50, current distance is 309.0228580000303
asn=9623 	id=1   	App	rx app packet seqnum=10 from=2
asn=9623 	id=-1  	link_model	path_loss_dbm = 95.5350546188915, current bitrate = 50, current distance is 309.0228580000303
asn=9623 	id=2   	Node	tx done to=1 numtx=1 acked=false
asn=9674 	id=-1  	link_model	path_loss_dbm = 95.5350546188915, current bitrate = 50, current distance is 309.0228580000303
asn=9674 	id=-1  	link_model	path_loss_dbm = 95.5350546188915, current bitrate = 50, current distance is 309.0228580000303
asn=9674 	id=2   	Node	tx done to=1 numtx=2 acked=false
asn=9742 	id=-1  	link_model	path_loss_dbm = 95.5350546188915, current bitrate = 50, current distance is 309.0228580000303
asn=9742 	id=2   	Node	tx done to=1 numtx=3 acked=false
asn=9810 	id=-1  	link_model	path_loss_dbm = 95.5350546188915, current bitrate = 50, current distance is 309.0228580000303
asn=9810 	id=-1  	link_model	path_loss_dbm = 95.5350546188915, current bitrate = 50, current distance is 309.0228580000303
asn=9810 	id=2   	Node	tx done to=1 numtx=4 acked=false
asn=9871 	id=-1  	Mobility	update positions
asn=9871 	id=2   	Mobility	at 290.010 pos is 320.011
asn=9895 	id=-1  	link_model	path_loss_dbm = 95.89923715397148, current bitrate = 50, current distance is 320.0109780000315
asn=9895 	id=-1  	link_model	path_loss_dbm = 95.89923715397148, current bitrate = 50, current distance is 320.0109780000315
asn=9895 	id=2   	Node	tx done to=1 numtx=5 acked=true, remove packet
asn=9926 	id=-1  	link_model	path_loss_dbm = 95.89923715397148, current bitrate = 50, current distance is 320.0109780000315
asn=9984 	id=1   	App	generate a packet, seqnum=10 for=2
asn=9998 	id=-1  	link_model	path_loss_dbm = 95.89923715397148, current bitrate = 50, current distance is 320.0109780000315
asn=9998 	id=1   	Node	tx done to=2 numtx=1 acked=false
asn=10032	id=-1  	link_model	path_loss_dbm = 95.89923715397148, current bitrate = 50, current distance is 320.0109780000315
asn=10032	id=2   	App	rx app packet seqnum=10 from=1
asn=10032	id=-1  	link_model	path_loss_dbm = 95.89923715397148, current bitrate = 50, current distance is 320.0109780000315
asn=10032	id=1   	Node	tx done to=2 numtx=2 acked=true, remove packet
asn=10212	id=-1  	Main	300 seconds, progress 8.33%
asn=10212	id=-1  	Main	periodic route processing for all nodes
asn=10212	id=1   	TSCH	stats: {"idle_listen":883,"channel_scan":0,"rx_data":0,"rx_data_tx_ack":21,"tx_data":27,"tx_data_rx_ack":16}
asn=10212	id=2   	TSCH	stats: {"idle_listen":910,"channel_scan":0,"rx_data":6,"rx_data_tx_ack":13,"tx_data":0,"tx_data_rx_ack":22}
asn=10212	id=-1  	Mobility	update positions
asn=10212	id=2   	Mobility	at 300.029 pos is 331.031
asn=10323	id=-1  	link_model	path_loss_dbm = 96.2521411859578, current bitrate = 50, current distance is 331.0314160000328
asn=10363	id=1   	App	generate a packet, seqnum=11 for=2
asn=10372	id=-1  	link_model	path_loss_dbm = 96.2521411859578, current bitrate = 50, current distance is 331.0314160000328
asn=10372	id=2   	App	rx app packet seqnum=11 from=1
asn=10372	id=-1  	link_model	path_loss_dbm = 96.2521411859578, current bitrate = 50, current distance is 331.0314160000328
asn=10372	id=1   	Node	tx done to=2 numtx=1 acked=true, remove packet
asn=10552	id=-1  	Mobility	update positions
asn=10552	id=2   	Mobility	at 310.018 pos is 342.020
asn=10881	id=2   	App	generate a packet, seqnum=11 for=1
asn=10881	id=-1  	link_model	path_loss_dbm = 96.59250202728515, current bitrate = 50, current distance is 342.019536000034
asn=10881	id=1   	App	rx app packet seqnum=11 from=2
asn=10881	id=-1  	link_model	path_loss_dbm = 96.59250202728515, current bitrate = 50, current distance is 342.019536000034
asn=10881	id=2   	Node	tx done to=1 numtx=1 acked=false
asn=10892	id=-1  	Mobility	update positions
asn=10892	id=2   	Mobility	at 320.007 pos is 353.008
asn=10949	id=-1  	link_model	path_loss_dbm = 96.92209909042688, current bitrate = 50, current distance is 353.00765600003524
asn=10949	id=2   	Node	tx done to=1 numtx=2 acked=false
asn=11051	id=-1  	link_model	path_loss_dbm = 96.92209909042688, current bitrate = 50, current distance is 353.00765600003524
asn=11051	id=-1  	link_model	path_loss_dbm = 96.92209909042688, current bitrate = 50, current distance is 353.00765600003524
asn=11051	id=2   	Node	tx done to=1 numtx=3 acked=false
asn=11109	id=1   	App	generate a packet, seqnum=12 for=2
asn=11117	id=-1  	link_model	path_loss_dbm = 96.92209909042688, current bitrate = 50, current distance is 353.00765600003524
asn=11120	id=-1  	link_model	path_loss_dbm = 96.92209909042688, current bitrate = 50, current distance is 353.00765600003524
asn=11120	id=1   	Node	tx done to=2 numtx=1 acked=false
asn=11170	id=-1  	link_model	path_loss_dbm = 96.92209909042688, current bitrate = 50, current distance is 353.00765600003524
asn=11170	id=2   	Node	tx done to=1 numtx=4 acked=false
asn=11171	id=-1  	link_model	path_loss_dbm = 96.92209909042688, current bitrate = 50, current distance is 353.00765600003524
asn=11171	id=2   	App	rx app packet seqnum=12 from=1
asn=11171	id=-1  	link_model	path_loss_dbm = 96.92209909042688, current bitrate = 50, current distance is 353.00765600003524
